Price,Close,High,Low,Open,Volume,RSI_14
Ticker,5439.TWO,5439.TWO,5439.TWO,5439.TWO,5439.TWO,
Date,,,,,,
2023-11-14,117.50248718261719,118.94129314811862,114.62487525161431,117.02288519411671,2184000,64.05913547345261
2023-11-15,112.70646667480469,119.90049646255818,112.70646667480469,118.94129249085772,6500000,55.78626373364799
2023-11-16,114.62487030029297,116.06367620364394,111.74725849359106,113.18606439694202,2583000,58.11630617932795
2023-11-17,110.30845642089844,117.98208817191745,108.39004848314367,115.10447626528533,8179000,51.535475983436704
2023-11-20,117.02288055419922,117.50248252368364,109.34924904244845,111.26765692038614,6651000,59.26302595546379
2023-11-21,116.54328155517578,119.90049542713557,115.58407759175869,117.9820875003014,4990000,58.544964528234416
2023-11-22,117.02288055419922,120.8596963100746,115.10447267626152,116.5432785847148,4549000,59.078925466882716
2023-11-23,116.06368255615234,121.81890648455659,115.58408056211866,118.94129452035446,5866000,57.48416627970203
2023-11-24,117.98208618164062,118.46168815798876,114.62487234720369,116.0636782762481,2351000,59.82023860557426
2023-11-27,115.10447692871094,119.90049680074057,114.62487494150798,118.94129282633465,3311000,54.943510867662624
2023-11-28,116.54328155517578,117.02288353688432,115.10447561005014,115.10447561005014,1160000,56.83818596108966
2023-11-29,120.38009643554688,120.85969841337774,116.54328061289996,117.02288259073083,4396000,61.488875050427424
2023-11-30,127.57412719726562,129.49253512504407,117.98208755837348,120.85969945004112,19802000,68.37056601431475
2023-12-01,140.0437774658203,140.0437774658203,128.05372802525352,128.53333000287617,15110000,76.28197927720635
2023-12-04,139.08457946777344,144.36020144758552,138.60497746960868,141.96219145676184,18294000,74.73346070503058
2023-12-05,137.16616821289062,140.04378013344078,131.89054635854868,139.56417814668242,9218000,71.60275440134134
2023-12-06,146.2786102294922,150.11542623551165,135.72736621293865,138.12537621670083,15789000,76.6141448120437
2023-12-07,136.6865692138672,146.7582111559416,135.7273652193839,144.36020116973341,8750000,63.84235282255628
2023-12-08,135.72735595703125,140.52337560215602,135.72735595703125,138.12536577959364,4436000,62.71641875912832
2023-12-11,132.84974670410156,138.12536841437276,131.41094078311852,138.12536841437276,3760000,59.335608429625864
2023-12-12,128.5333251953125,133.3293447921525,128.0537232356285,133.3293447921525,4287000,54.58258087154002
2023-12-13,125.17611694335938,129.97213674961836,125.17611694335938,129.49253476899244,3266000,51.15060056681577
2023-12-14,121.81890106201172,127.57412473423275,121.33929908932664,127.09452276154767,4186000,47.906664233193645
2023-12-15,117.50248718261719,123.7373130331234,117.50248718261719,123.7373130331234,4157000,44.03950128591862
2023-12-18,116.06368255615234,119.90049850842185,114.62487657405129,118.46169252632077,3754000,42.79928762915425
2023-12-19,115.10447692871094,117.50248686472575,114.14527295430501,116.54328289031983,2146000,41.951099785992874
2023-12-20,118.94129180908203,121.81890370768885,116.54328189357635,117.02288387667748,6855000,46.516890140051345
2023-12-21,116.54328155517578,120.38009740884411,116.06367957346724,117.02288353688432,3882000,44.178086583250874
2023-12-22,116.54328155517578,118.94129146371849,116.54328155517578,117.50248551859286,1795000,44.178086583250874
2023-12-25,115.58407592773438,117.50248382694988,114.14527000332274,117.022881852146,1514000,43.171139532214426
2023-12-26,116.54328155517578,117.50248551859286,115.58407759175869,116.06367957346724,956000,44.53265259659805
2023-12-27,119.42089080810547,120.38009475033925,116.54327898140414,117.50248292363791,2454000,48.51754756395438
2023-12-28,116.54328155517578,119.90049542713557,116.06367957346724,118.94129146371849,2052000,45.03338241266045
2023-12-29,117.50248718261719,118.46169115961814,115.10447724011479,116.54328320561623,1259000,46.414751464283654
2024-01-02,116.06368255615234,117.98209053228709,116.06368255615234,117.5024885382534,661000,44.60399815008238
2024-01-03,110.30845642089844,115.58407824972402,108.39004848314367,115.58407824972402,5340000,38.18659345731081
2024-01-04,105.0328369140625,111.26766284960046,104.55323491902112,111.26766284960046,3704000,33.437457124486656
2024-01-05,103.59402465820312,107.43084038628473,103.11442269219293,105.51243252224393,2787000,32.25911470938112
2024-01-08,100.71641540527344,105.03283320835659,100.2368134271531,104.55323123023624,5019000,29.983333244518633
2024-01-09,98.31840515136719,102.63482293850038,97.83880317501905,102.63482293850038,3412000,28.198073364668858
2024-01-10,99.75720977783203,100.23681174791776,97.8388018974891,98.79800583766057,1980000,30.858172729747665
2024-01-11,102.15522003173828,104.07362791965825,97.35920031193837,97.83880228391835,3991000,35.16916524649379
2024-01-12,100.23681640625,101.19602039099881,97.838806444378,101.19602039099881,2388000,33.376297681425015
2024-01-15,100.71641540527344,103.1144252958752,99.75721144903274,99.75721144903274,1328475,34.278321000156964
2024-01-16,104.0736312866211,105.51243724910894,100.71641737414944,101.1960193616454,4390000,40.364942915950245
2024-01-17,103.59402465820312,106.95123842027452,103.11442269219293,104.07362662421333,3921000,39.797896789509124
2024-01-18,101.19601440429688,104.55322815230672,100.71641244029547,103.59402422430391,1741000,36.999193576497284
2024-01-19,101.19601440429688,103.59402422430391,98.31840262028842,102.63482029630109,3916000,36.999193576497284
2024-01-22,104.55323028564453,105.51243423321925,101.67561844292037,101.67561844292037,2252000,43.45550745354537
2024-01-23,104.0736312866211,105.51243724910894,102.63482532413325,104.55323327411705,1281000,42.781020811851455
